Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
2024;402;74;74192;Moye;29/01/2024 18:16;200;200;;0;0;0;;;;;Estimées;;Involontaire (travaux);Non;;;;
2024;229;2B;2B356;Zalana;30/01/2024 11:12;10000;0;10000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;358;06;06135;Sigale;30/01/2024 13:32;2000;0;2000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;19532;34;34335;Villemagne-l'Argentière;30/01/2024 14:50;2252;0;2252;0;0;0;;;;;Mesurées;1;Involontaire (particulier);Non;;;;
2024;22939;2A;2A130;Grosseto-Prugna;30/01/2024 18:53;50;0;50;0;0;0;;;;;Estimées;;;Non;;;;
2024;19191;29;29206;Plounévez-Lochrist;30/01/2024 19:04;20;20;;0;0;0;;;;;Estimées;;;Non;;;;
2024;22940;2A;2A247;Porto-Vecchio;31/01/2024 11:08;3000;0;3000;0;0;0;;;;;Estimées;;;Non;;;;
2024;268;2B;2B235;Pioggiola;31/01/2024 12:15;300;0;300;0;0;0;;;;;Estimées;;;Non;;;;
2024;26996;40;40281;Saint-Pierre-du-Mont;31/01/2024 17:35;3;1;;0;0;2;;;;;Estimées;;;Non;0;0;0;
2024;27088;64;64396;Mont;31/01/2024 19:05;2;2;;0;0;0;;;;;Estimées;;;Non;0;0;0;
2024;338;2B;2B176;Nocario;01/02/2024 11:11;5000;0;5000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;282;05;05024;Valdoule;02/02/2024 12:50;4000;4000;0;0;0;0;;;;;Mesurées;5;Involontaire (travaux);Non;;;;
2024;359;06;06050;Coursegoules;02/02/2024 13:45;800;0;800;0;0;0;;;;;Estimées;;;Non;;;;
2024;19303;13;13091;Saint-Cannat;02/02/2024 14:36;10;10;0;0;0;0;;;;;Estimées;1;Malveillance;Non;;;;
2024;341;2B;2B213;Pianello;03/02/2024 12:13;465800;0;465800;0;0;0;;;;;Estimées;1;Malveillance;Non;;;;
2024;342;2B;2B219;Piedicroce;03/02/2024 12:25;4000;0;4000;0;0;0;;;;;Estimées;;;Non;;;;
2024;20544;11;11401;Tuchan;03/02/2024 12:27;200;0;200;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;28842;07;07220;Saint-Christol;03/02/2024 14:04;10000;10000;0;0;0;0;;;;;Estimées;3;Involontaire (travaux);Non;;;;
2024;289;26;26243;Le Poët-Laval;03/02/2024 14:57;4300;4300;0;0;0;0;;;;;Estimées;;Malveillance;Non;;;;
2024;19304;13;13017;Boulbon;03/02/2024 15:50;20;20;0;0;0;0;;;;;Estimées;1;Involontaire (particulier);Non;;;;
2024;19033;48;48051;Le Collet-de-Dèze;03/02/2024 15:54;250;0;250;0;0;0;;;;;Mesurées;1;Involontaire (particulier);Non;;;;
2024;19035;48;48194;Vialas;03/02/2024 16:20;150000;0;150000;0;0;0;;;;;Estimées;1;Involontaire (travaux);;;;;Données partielles ou non valides
2024;28674;07;07200;Le Roux;03/02/2024 16:27;8000;8000;0;0;0;0;;;;;Estimées;3;Involontaire (travaux);Non;;;;
2024;27213;2A;2A247;Porto-Vecchio;03/02/2024 18:13;50;0;50;0;0;0;;;;;Mesurées;;;Non;;;;
2024;18875;15;15223;Sauvat;03/02/2024 19:06;500;500;;0;0;0;;;;;Estimées;;Involontaire (travaux);Non;;;;
2024;19941;31;31548;Signac;03/02/2024 19:09;40000;40000;;0;0;0;;;;;Estimées;;;Non;;;;
2024;19037;48;48116;Pont de Montvert - Sud Mont Lozère;03/02/2024 20:25;10000;0;10000;0;0;0;;;;;Estimées;1;Involontaire (travaux);Non;;;;
2024;19036;48;48053;Cubières;03/02/2024 20:35;500;0;500;0;0;0;;;;;Estimées;1;;Non;;;;
2024;520;34;34277;Saint-Maurice-Navacelles;04/02/2024 10:19;30519;0;30519;0;0;0;;;;;Mesurées;;Involontaire (travaux);Non;;;;
2024;345;2B;2B171;Muracciole;04/02/2024 10:55;1500;0;1500;0;0;0;;;;;Estimées;;;Non;;;;
2024;20546;11;11311;Ribaute;04/02/2024 12:14;8124;8124;0;0;0;0;;;;;Mesurées;;;Non;;;;
2024;27659;43;43172;Saint-Bonnet-le-Froid;04/02/2024 13:19;6000;6000;;0;0;0;;;;;Estimées;;;Non;;;;
2024;517;34;34144;Lunas;04/02/2024 15:27;32247;0;32247;0;0;0;;;;;Mesurées;1;Malveillance;Non;;;;
2024;280;04;04220;Les Thuiles;04/02/2024 15:36;12800;5300;0;7500;0;0;;;;;Mesurées;4;Involontaire (particulier);Non;;;;
2024;28845;07;07004;Ajoux;05/02/2024 12:11;13000;13000;0;0;0;0;;;;;Mesurées;3;Involontaire (particulier);Non;;;;
2024;28855;07;07093;Genestelle;05/02/2024 13:04;100000;10000;90000;0;0;0;;;;;Mesurées;5;Involontaire (particulier);Non;;;;
2024;20402;09;09287;Senconac;05/02/2024 13:43;680000;50000;;0;0;630000;;;;;Mesurées;;;Non;;;;
2024;19218;34;34144;Lunas;05/02/2024 13:46;140710;140710;0;0;0;0;;;;;Mesurées;3;Malveillance;Non;;;;
2024;347;2B;2B354;Vivario;05/02/2024 14:35;20;0;20;0;0;0;;;;;Estimées;;;Non;;;;
2024;346;2B;2B145;Loreto-di-Casinca;05/02/2024 15:08;8000;0;8000;0;0;0;;;;;Estimées;1;;Non;;;;
2024;505;34;34138;Lieuran-Cabrières;05/02/2024 15:36;5369;0;5369;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;19305;13;13112;Velaux;05/02/2024 16:55;350;350;0;0;0;0;;;;;Estimées;1;Malveillance;Non;;;;
2024;19306;13;13059;Meyrargues;06/02/2024 09:03;20;0;20;0;0;0;;;;;Estimées;1;;Non;;;;
